Number	English	Tw	Nd	Ke	WP	Bl	Ad	Kl	Ki	Ab	Km	Sw	We	pAP	
36	sea/salt water	ta'	ta	tam	tawá	taŋ	taŋ	tan	tan	tama	tama	tama	tamá'	*tam	
		0	0	1	2	1	1	1	1	1	1	1	1	1	
37	wave	boof	bova	boob	bo	buat	bobo	bo:b	lamaga	fɔ	-poklaa	galung	ilál	*bob	
		0	0	0	1	2	0	0	3	0	4	5	6	0	
38	foam	(ta') qaaw	buy	qaaw	aluá	(taŋ) ul	wara-wara	kul	klar	baˈlaking	kuaa		tamá' kula'	-	
		0	1	0	2	3	4	5	6	7	8		5		
39	forest	wut	miyama	qaqui eres	wappang	bil pusi	bana	ʔɛh	"kop ('hutan'), awotan ('rimba')"	ating	bong sak	adiisiŋ	dum	-	
		0	1	2	3	4	5	6	7	8	9	10	11		
40	field	hawan bi'in 'flat place'	wuuta gami	"ur wado, ur gom"	bi'ang				lat	rol 	-		oku pedakar	-	
		0	2	3	0				4	5			6		
41	garden	"ar wan, maxar"	maxara		"bunni, maggar"	bil	"butu 'garden used several times', dil 'garden used only once', maʔad 'work in garden'"	tɛr	panen	ˈuti  	milaa	para	pur	-	
		0	0		0	2	0	4	5	6	7	8	9		
42	"road, path"	yitar	yiiya	jugut	ya	via	seʔbur	ɛgɛʔ	lak	safoko / safoka telesing	geei	luraŋ	yele	-	
		0	0	9	1	2	0	3	4	5	6	7	8		
44	axe	bafal	bamma (also old man)	taaxi	baling	taa	"baliŋboʔoboi, baliŋ 'metal shovel'"	bɛi	pongon	faling	paling	poŋala	polong	*balin	
		0	5	1	2	1	5	3	6	7	8	4	4		
45	spear	qab	qaba	xabi	kabbi	ʔaba	boko	kəbɑk	kabak	kafak	kapa	susure	susurai	*qaba(k)	
		3	4	0	0	0	5	0	0	0	0	2	2	0	
46	burden stick		tiyewang	-	tiawang	-	dopoŋ 'walking stick'		terewing		-		bong lewared	-	
			0		0		1		2				3		
47	bow	wutan	mata	kumat	hummas	umat	pεhε	peh	pes	peti	mo	moosa	mosu	-	
		0	1	2	3	4	5	5	5	5	6	7	7		
48	arrow	qafalat	qaviita	qulubit	kabus / upal / bagur	bulít	"aburig, ata:pa 'fire an arrow'"	"kbor, leh"	nalaga	"pulang ‘small arrow’, kaw ‘large arrow’, kafu ‘large arrow’"	wiling	sike	siki	-	
		0	1	0	3	0	5	6	7	8	9	10	10		
49	knife	si'ar	ciya/siya	"siar, səmering"	sila	tudik	duir (voiceless r)	dʊʊr	dur	lui	sitei	kine	kinai	-	
		0	0	0	0	2	3	4	8	5	6	7	7		
50	rope	tar	korang	siil	korang	sial	hiwaŋ	hɑlɑr	sel	ˈtila	kape	kape	kpei'	-	
		0	1	2	3	4	5	6	7	8	9	9	9		
52	mat	bis	bii	bis	bis	bi	bahu	wik	bus	adik	adi	buusi	biti'	*bis	
		0	5	0	0	0	1	2	3	4	4	6	0	0	
54	oven	tutax	tutuwala	tutuk	tuttu	tutu	"hεʔεwui, ʔa 'wood'"	adagen	sakan	diking	dekang	iniking	diking	-	
		0	1	2	1	1	3	4	5	6	8	7	9		
55	fire	xar	ar	aad wasing 'firewood'	ra	aad beta	"awai, wai 'to flame'"	ədɑ	ar	ara	ati	ada	adá war	*had(a)	
		0	0	0	1	0	2	0	0	0	0	0	0	0	
56	smoke	buun	arabun	aad bənaax	bunna	ad benaŋka	awai banoʔo	ədɑbon	ar bonok	ara tika	puna	punaka	adá punak	*bunaq	
		0	0	0	0	0	0	0	0	1	0	0	0	0	
57	ash	di'	damang	bəraam	duli	məró ‘fireplace ash’	ma:lu	adur	ar ui	arui	ati yeng koo		ma abu  (ma 'tanah halus')	-	
		0	1	2	3	4	4	3	6	3	7		8		
58	"dust, fine earth"	di' bəraam	malaw	braam	bro	butuŋ boni	malu	ədµr	plak tabon	tabwong	kinii	"butiŋ, abuy"	ma punaka	-	
		0	1	0	0	3	4	5	6	6	7	8	9		
59	mud	bəlaqas	banaqa	ilisaq	para	butumpret	parah	mul	mul	dakung	faa	duukang	brekeng	-	
		0	1	2	3	4	3	5	5	6	7	6	8		
62	sand	ees	iyaasi	weis	si'ir	bey	fεcεʔ	ɑlɑt	alat	malatai	sinai	ɪnɪŋɪ	ini pak	-	
		0	0	0	1	2	3	4	4	5	6	7	7		
63	grass/brush	ti'	to	te	alé	nəvel	bana	kəwɪl	blaka	kupe	sak	ikuyila	serí	-	
		0	0	0	2	3	4	5	6	7	8	5	9		
64	house	yaf	se	ma	bla	haváʔ	baŋ	əwi	ow	tofa	kadii	araasing	sob	-	
		0	1	2	3	4	5	6	6	7	8	9	10		
66	"barn, storage house"	paxan yaf	kokar	kurung	kebang	pánda	εsεlε	iwinok	bena	kudang/kadang	almang	yu	ou	-	
		0	1	2	3	4	5	6	7	8	9	10	11		
67	raised platform	"deek, bala' 'sleeping place'"	ta'aɣecing	deeki	luppu	dey		"liip, trab"	taka	lik	sai	"baasa, line"	kdil	-	
		0	1	9	2	10		3	4	5	6	7	8		
68	door	weeg	walagga	tuuni	waiya	tuni	saʔar	hek	nabat	lung	lubui	daamat	damát	-	
		0	1	2	3	2	4	5	6	7	8	9	9		
69	thatch	"(yaf) waai, (yaf) qul 'ridgepole'"	sewaya	magong	wai	vemvey	"de'e 'roof', u-va 'to roof'"	wei	wai	wai	gabuu mang	"gabaara, li"	sob led	*way	
		0	0	1	0	0	0	0	0	0	3	4	5	0	
70	roof thatch	man	mang	maan	hasi	meniŋ	"mIn men, uva 'to roof'"	eneːm	amen	file	iwaah	amang	améng	*amen	
		0	0	0	1	0	0	0	0	2	3	0	0	0	
71	tree	tei	tei	tei	yattu	te	ti	ətəʔ	atei	ˈbata	bong	mu	bong	*tei	
		0	0	0	1	0	0	0	0	0	3	4	3	0	
73	leaf	tei wa'	(tei) wa'a	tei wa	waya	te va	ti bεhε	ɛtɛwɛi	atai det	tala	arita	lakka	bong lak	-	
		0	0	0	0	0	1	0	2	3	4	5	5		
74	branch	tei getingi	gatani	tei getani	koi	te kəráŋa	ataŋ	"beh, gtan, kdar, tkam"	gatan	ˈbata takawak 	bong gatang	"pakang, kalooka"	bong gabarang	-	
		0	0	0	1	2	0	0	0	4	5	6	5		
75	stick/pole	tukar	do	tukur	soru	awa pula	dopoŋ	doob	dukur	tukorang	teekang	"diikang, saala"	dekeng	-	
		0	1	0	2	3	4	5	6	7	8	8	8		
77	rattan	liyag	korang ('rattan ties' also given for 'rope')	leeg	de	"líya ‘long rattan’, nəvár ‘short rattan’"	lεʔ	uhul	le	furak	tauu	lawaakar	"lotor (sj. bulat lurus), lawaka (sj. belok)"	-	
		0	1	0	2	0	0	3	0	4	5	6	6		
78	digging stick		muru		dalia	norúk			psor tekan	ahating	--		atoku tei	-	
			0		1	2			3	4			5		
79	dibble stick	yax	dada	yag	yaggas	jakat			sulin		--		lala	-	
		0	1	0	0	2			3				4		
80	root	hroq	alli	aki	har	te brigiŋ	aliʔiŋ	ərɪk	eir	ai	alii	siripiŋ	sriping	-	
		0	1	2	3	4	0	0	1	1	1	7	7		
81	fruit	ge yis	ici	tei isi	hissa	te hi	piri	ɪh	up	iti	"uh, ih"	gisi	bong ikó'	*is(i)	
		0	0	0	1	0	3	0	4	0	0	5	6	0	
82	seed	ge bag	bagga	guax	uppur	te kulu	awai	mɛm	ku	bika	bilee	inii	ge ikó'	-	
		0	0	1	2	3	4	5	6	7	8	9	10		
83	flower	qaaw	asamma	qaaw	kawang	te búma		bʊʊm	bungan	kiki	kik	kikileawa	kikilau	-	
		0	1	0	0	2		3	4	5	5	5	5		
85	cooked rice	qar	qara	"naqar, naxaro"	huttang dala	naliyaŋ	"a:la meje (lit., 'table rice')"	ərɑkmɑi	arak ma	ajak ma:	aa maa	araka ma	arák mad	*araq	
		0	0	0	3	4	0	0	0	0	7	0	0	0	
87	to plant 1	midan	muddi		midding	mudiŋ	mudiŋ 'plant smth. like a tree that takes many years to grow 	mdin	atako medi	murow 	mit	mading	mdi	*mudi-n	
		0	0		0	0	0	0	0	0	0	0	0	0	
88	to plant 2	itap	"tappa 'plant, pound rice, stab'"	tap 'to pound'	tappang 'to stab'	tapa 'to pound	ta:pang 'to pound'	tek	tapai 'to stab'	tapei 'to pound'	tafe	taan	ta	*tapai 'pierce'	
		0	0	0	0	0	0	2	0	0	0	0	0	0	
89	"betel nut, areca"	bui	buya	bui	bu	bu	bu:	bʊiʔɪh	bui	fu	bakaa	pu	pui	*bui	
		0	0	0	0	0	0	0	0	0	1	0	0	0	
90	betel vine	meet	matta	maat	meta	maat	mece	mɛh	mesín	ˈmeting	maisi	maasi	mas	*mait	
		0	0	0	0	0	0	0	0	0	0	0	0	0	
91	lime	xor	wa (also 'mother')	awar	hauwe	avar	a:wi	əwɛr	oor	awai	awoi		or	*hawar	
		0	0	0	0	0	0	0	0	0	0		0	0	
93	sweet potato	bətangqar	keingkuka	kukasi	maloko mar	u kasi	falaj	kɛsəl	ai lak	bale	buleel	"yaamu, salu, kuku"	ai lek	-	
		0	1	2	3	4	5	6	7	8	9	10	7		
94	cassava	tei qar	tei xara	bengkuk	wesarani	u belanda	outi	ətɛko	btako	batako	bongko	yaamu salu	bong kau	-	
		0	0	1	2	3	4	5	6	7	8	9	8		
95	taro	nei	itaaba	nei	olu	awgol	ma:lu	lɛɛ	banei	aho 	makai	alaata	pne	-	
		0	1	0	2	3	4	5	6	7	8	9	10		
97	millet	naat		naat	kalake	nuwát	ta:ri		ser manaka	kala	lasu		bulá'	-	
		0		0	1	0	2		3	1	4		5		
98	sugarcane	wux	uufa	uub	habua	wub	so:b	aba	uub	fa	kamaa		upá	*u:b	
		0	1	1	2	1	3	4	1	4	5		1	1	
101	coconut	wat	wata	waat	hatua	vet	faʔ	ǝta	bat	ˈwata	wate	wata	watá'	*wat	
		0	0	0	1	0	0	2	3	0	0	0	0	0	
102	gwang	duwai	angwa'a (wa'a 'leaf')	kunubu	hakke	kədúbuk		tok yar	akal yera		lumel		kuwak	-	
		0	1	2	3	4		5	6		7		8		
103	lontar palm	xaiqual	awa'a (wa'a 'leaf')	"ai qoli, tox 'palm wine'"	tua	koli	"ʔεʔui, nou 'palm sugar, used for tuak and brooms'"	tok yar	tuuk yera		--		toko bong	-	
		0	1	0	3	0	4	5	6				7		
105	marungga	quud	salla	matoling/matolung	kuri	təmóluŋ	motoŋ	kokol	kakol	matoling	koo wutong		kolteng bong	*matoling	
		0	1	2	3	2	4	5	5	2	6		7	2	
106	gum tree/eucalyptus	pal	paala	paal	pu	puu	pu	nih	pokoil	puokdai	"foo, taa"	waa		*pu	
		0	0	0	1	1	1	2	3	4	1	5		1	
107	bamboo	"goxol, ixir, petan, piat, ya'"		petung	mali	"petuŋ ‘large wild bamboo’, mári ‘smooth wild bamboo’, petuŋ vandaŋ ‘domestic bamboo’"	pitung	"dumar, kkak, peet, tuk, ulu, "	pitan	mai	"maai, toon"	"sibeang, sumu, "	(beting)	*mari	
		1		2	0	0	3	1	4	0	0	5	6	0	
108	banana	moxoi	may	mogoi	maggi	mool	moʔoi	mɔgɔl	nawol	mosa	mooi	maˑkɑ	mulúl   (mulula)	*mogol	
		0	1	0	0	0	0	0	2	3	0	4	0	0	
109	mango	wow	wowa	wow	bes	"biyát ‘wild mango’, mampleʔ ‘domestic mango’"	be	"mogoi, mogoi al"	mampalel	maija	wae	pisi	pis	-	
		0	0	0	1	2	8	3	4	5	6	7	7		
110	papaya	kasi	katela	kasí	kattelu	kási	kahatεlε	atemol	matakel	batamia	bongmooi	bile	bilkai	-	
		0	4	1	4	2	4	6	4	7	8	9	10		
111	jackfruit	nak	qaerang	naka	kawerang	naŋka	toŋ	aton	nangka	song /sõ	ton			*ton	
		0	1	2	1	3	4	4	5	6	4			4	
112	breadfruit	kular	kulu	kunur	"kili, tong"	undur	tombai	aton atek	"kulur,  amúr"	song 	kut ton		lapori	-	
		0	0	2	3	4	3	5	6	7	3		8		
113	bean	kaas	"nakaahu, traakahu 'peanut'"	taau	lai	"tool (general term), tool butuŋ ‘peanut’, kaa ‘mung bean’"	ʔutuŋ	"ut, keh"	utan	"takoi ‘large bean’, luong ‘small bean’, nai ‘ko.bean’"	taaui		kasu	-	
		0	1	2	3	4	5	6	7	8	2		9		
117	fat 	tama'	qoata	"qaau, -tema"	kawata	təmá	tamara	təmɑd	tamá	tamada	bulaka	dumu	gesime'	*tama	
		1	0	1	0	1	5	6	1	7	2	3	4	1	
118	"flesh, meat"	kok	bo'o	umung	"ke'e, dama'a"	dagiŋ hii	hiri	məhɛl	is	mahiting	isei	isi	geis	-	
		0	1	2	3	4	5	6	7	8	11	9	10		
119	bone	kir	kili	kiri/giri	ke'e	ʔe irá	talopo	tərop	taropa	hetaipa	sel	sara	geséri	-	
		0	0	0	1	2	3	3	3	4	5	5	5		
120	rib	ga'an pa'as	siddang	paas	parisi	abál ira	abεti	"dget, pih"	dagatar taropa	kaˈfata  bata	kapaata	baasara	gabáseri	-	
		0	1	0	2	3	4	0	6	7	7	8	8		
121	sweat	hasir	uusi	turugung/trugung	sissi	truuŋ	latutuŋ	ang	surun	tamuring	susui	punara	punera	-	
		0	1	2	3	2	4	5	6	7	8	9	9		
123	blood	wei	we	wee	wai	"eve, ve"	fi:	wɛʔ	we	we	wee	wii	wei	*wai	
		0	0	0	0	0	0	0	0	0	0	0	0	0	
124	tendon	traw	tarro	turui	har	urát			eir	teai	alii		sriping	-	
		0	1	0	2	3			4	0	4		7		
125	heart	uuk	-axoya	-axai	hatuaki	kubaŋ	damulu	ətɑkʊb	ta-bat kublai	tebikamang	bukamang	gikoomaŋ	geukabang	-	
		0	2	2	1	3	4	5	6	7	8	9	10		
126	liver	guuk	gammi-gammi (insidesʔ)	tilil	ume	elila	om	nəbʊr	damor	tomi	--	gidamara	gedamuring	-	
		0	1	2	3	2	3	4	5	3		6	6		
127	guts	gruxui kriman	nususu	diyaq	tas ara	avar pula	atohi	gɛh	te is	tatebak	kaapung	gitu	atoko marúng	-	
		0	1	2	3	4	5	6	6	7	8	6	9		
128	excrement	xas			has	aas	hahaʔ	ǝhi	es	asi	asi	ɑtʊ	atú	*has	
		0			0	1	2	0	0	3	0	0	0	0	
129	lungs	gaxai	puiy vata		alua	buráŋ	aladiŋ		ta-kalé	teboboti	fusaa	saalara	gesalar	-	
		0	1		2	3	4		5	6	7	8	8		
130	stomach	gato'	goto'o	tətoki/tatoki	nas	tətow	atuʔu	gəbɛt	ta-beter	-took	-tok	gapaŋ	atoko	*-tok	
		0	0	1	2	1	1	3	3	1	1	4	1	1	
131	head	go'onqul	gungkotang	toong(kul)	na'ung ki	tooŋ	loŋ	"kədɛh, nɛttu"	ta-potur	tiakai	-filing	"gatakka, tɑkɑ"	lokomang	-	
		0	0	0	0	0	1	2	3	4	5	4	7		
133	body hair	mud	muddi	"mudu' 'body hair, fur, feather'"	mayang	pimudi	muj	amudj 	ta-bota	amuri	labuta	madi	(ne)mudi	*mudi	
		0	0	0	2	0	0	0	3	0	4	0	0	0	
134	eye	tet baag	"gatabaga, natabaga"	"teet gwaq, teet mudu' 'eyelash'"	naiti	teŋkulu	ʔεŋwai	gɛɛn	t-en	tieng bika	-ng	ganiiri	ninirko	-	
		0	0	0	0	3	3	3	3	3	3	4	4		
135	ear	-uwar wa'	gowwa'a	tuwar wa	nauwe	təveli	awεbεhε	gəwɛr	ta-wel	tawei	-wai	wari	neweri lak	*-uar-i	
		0	0	0	0	1	2	0	3	0	0	0	0	0	
136	nose	gəfimbui	gafini	timim	namma	təmiŋbur	aimbui	gəmoin	te-min	taminfa	-lpang	gamiŋi	nemuing	*-mim	
		0	1	2	3	4	5	2	2	4	7	2	2	2	
137	mouth	gaa'	gayaqa	tua	nai	taibor	ʔata	gɑd	to-wa	tawa	-waa	gayiiri	nebir	-	
		1	2	0	3	8	4	5	0	0	0	6	7		
138	chin	gaaw	gawala	tua somoi	nawar	təvá	arowaha	gad yar	to-wa basin	tawa bak	-waa buk	wakooya	newakat	*-wa	
		0	3	0	4	0	5	1	2	0	0	0	0	0	
139	lips	ger tuban	gayaq tubung	tua tupa'	nelas	tibál/ tivál	tεm tεporo	gətəbod	ta-rip so	tawa kul	-waa baka	gapiini	nebir klut	-	
		0	1	2	3	4	5	6	7	8	9	10	11		
140	teeth	gusan	gusing	tua sing	nawasing	təvéŋ	na-wεhεŋ	gəwɛh	ta-wes	taweiti	-weh	gawa	newesi	*-uasi(n)	
		0	0	0	0	0	0	0	0	0	0	1	2	0	
141	tongue	gelivi	gəlefu	taleeb	nalebu	tejebur	"talεb, nalεb"	gəlɛb	ta-liber	taleifi	-opui	galimpuru	neyebur	*-leb	
		0	0	0	0	1	0	0	0	0	2	3	1	0	
142	neck	gəməgoqai	gefikiri	tatax	"neba, nai hule"	təméŋʔera	dolo	dohəlɑ	wot plok	terola/rola	-mang	gamaŋ	nemeing	-	
		0	1	2	3	4	5	8	6	5	7	7	7		
143	shoulder	gədiya'	gasial	tabagat	namakar	təbít	ʔabεli	nɪkɛbɛl	ga-wor	tabal	-wakai	kaalɑ	nebarang	-	
		0	1	2	3	2	5	5	7	8	9	10	11		
144	arm	gətan	gatang	tatang	nattang	tataŋ	nataŋ	gtan	ta-tan	tatang	-tang	gataŋ	neteng	*-tang	
		0	0	0	0	0	0	0	0	0	0	0	0	0	
146	fingernail	gətang quxas	gatang kucing	tatang kusing	nattang kusi	tataŋ krusiŋ	ʔataŋ uhuŋ	gətɑnkuh	(tatan) kusin	tatang kusing	kuising	gataŋ kurisi	(neteng) kurusi	*kusin	
		0	1	1	1	3	1	1	1	4	1	2	2	1	
147	breast	gəxam	"gayami (cf., aami 'milk')"	tuu	nai hang	a:m	toʔ 	dʊʊt	ta-su	taraihiang	ami	gaami	ami	*ham-i	
		0	0	1	5	0	5	2	3	4	0	0	0	0	
148	navel	gor to'oi	grufi	totay	nito'e	təpuar	ʔapoyʔεŋ	təpʊhəgɛn	ta-buk	tabik	-bu	gikubiila	kubu	-	
		0	1	2	0	3	4	4	6	6	7	8	9		
149	penis	fi			"ge lupi, ge dukang"	tal		to	ta-pol	pal	-fui	waala	wala	-	
		0			1	2		3	4	5	4	6	6		
150	vagina	taar			ge hissa	ar		aar	ar	oy	-ai	-la	telesiko	*-ar	
		0			1	0		0	0	0	0	2	3	0	
152	leg	gəfat	gaya	tabat	nauta	tijá	nεʔεw	gətɑk	ta-tuk	tetuku	-wa	gikuli	newaka	-	
		0	1	0	2	1	4	5	6	6	7	8	9		
154	knee	gəfat kuu	gay uku	tabat uku	ukkang	tijá kuku	"ʔε pεlini, ʔewudu"	gɛiuk	tei luk tuk	taˈbabuk	-subu	gataasuruku	nesesebuk	*uku	
		0	0	0	0	1	2	0	0	3	4	6	5	0	
155	back	siif	nagua	tewaring	naing wiri	təmota era	ʔhaŋ mai	gɛhɑk	ta-kabát	teui	imota	"gatiiŋ, gamuwi"	sap kor	-	
		0	1	2	3	4	5	6	7	8	4	9	10		
157	"sore, wound"	jifat	batta	"ibat, bato"	bas	"báta ‘old wound’, íbat ‘new wound’"	bamed	abad	bata	namu	lamu	karupo	leboli	-	
		0	0	0	1	0	2	3	0	4	5	6	7		
158	ringworm	saxai	katu	qaat	"kattur, brai"		ot		lukur	kaˈfising			lilir	-	
		0	1	2	3		1		4	5			6		
160	tinea	gaal	manu	kus bani	ai nassi	mənáw	palaŋ		yermanema	kafising	bila-bila		pui mnuming	-	
		0	1	2	3	1	5		6	7	8		9		
161	feverish	qamudi	talaqo	qomodi	dagga	viviriŋ	tasoʔo	gebir	senam	kamura		-maaku	nailbub	-	
		0	1	0	3	4	5	6	7	0		9	10		
163	"cold, influenza"	qur kal	(kali) besima	sow	kuka	təmiŋ omi pi	hu:ʔ	kai 'cough'	maneber	pasing			dudung asiding	-	
		0	0	1	2	3	4	5	6	7			8		
164	person	uyaq	wa'ang	uyaxo'	aname	neenu	na:mi	ɑnɪnok	aninou	"ama, amakang ‘human being’"	alma	"aniŋ, aniŋkaaŋ"	aning	-	
		0	1	0	2	3	2	4	4	5	6	4	4		
165	name	yid	geynu	teeni	ninnu	tene	ʔaniŋ	gənɛʔ	t-enei	tane	-nei	gani	adeing (tedeing)	*-ain	
		0	1	1	1	1	1	1	1	1	1	1	2	1	
166	child	goqai	guaqa	tuaq	wakke	toál	ʔei	ʊl	ol	"moku, ne-wi ‘my child’"	dum	gamaddu	ol	"*-uaqal, *ol"	
		0	0	0	0	0	0	4	4	1	2	3	4		
167	man	masar	mawafe'i	masik waal	ammu	meyal	loti	omkənɛ	nen	"nẽ, neng"	lami	"imyaala, imyaalara"	lmi	-	
		0	1	2	3	4	5	6	7	7	8	9	8		
168	woman	eqar	alaqama	umoq waal	eu	jaul	oboʔ	okənɛ	mei	majuo	male	"yaalara, yaala"	mei	-	
		0	1	2	3	3	5	6	7	8	9	4	7		
171	mother	gaxala'	"hoa (my mother), goa (his/her mother)"	now	niu	nivá	niwi	noi	na-na	"hea ‘his/her mother’, nia ‘my mother’"	-ouko	giya	nea	-	
		0	1	1	3	3	3	4	5	6	7	6	6		
172	father	goma	nabamma	namam	niar	nimaŋ	nimiŋ	nɪmɑn	na-ma	mama	-paa	gipa	nepa	*-mam	
		0	1	2	3	2	2	2	0	2	6	6	6	2	
173	older sibling	gəmutu	"nenang, gənang"	nekaw 'same sex sibling'	"nikkar (man's bro), ni'e (women's bro)"	netatá	noʔudiŋ ʔobo 'sister'	ʊlom	bakan	nana	idama	naana	nenang (nang 'sulung)	*nan(a)	
		0	1	2	3	4	5	6	7	1	8	1	1	1	
174	younger sibling	gə'ik	"neywei, nənay"	nedik 'opposite sex sibling'	niaku (same sex)	nekáw	noʔudiŋ loti 'brother'	ʊlɪk	ika	"henaha, nenaha"	idika	kaaku	nekaku (kaku 'bungsu')	*kaku	
		0	1	2	3	10	5	6	7	8	9	4	4		
175	grandmother	gerta'	gətaya	naraat	kuba	nidat	bapa	-doqol	na-ta mei	nekuta	tam	gitaama	netamu mei	-	
		0	1	0	2	3	4	5	6	7	8	8	6		
177	grandchild	graat qai	gətaya (goaqa)	nagaraat xai	nammis	toal tidat	daʔala	dɑt	na-yol 	ne-rakbeka	dum tam	gataamu	gesir gemai	-	
		0	1	0	2	3	4	3	5	6	7	7	8		
178	bride price	go'oy	ga'a	gay	gu'e	ebəlí	hada	am	tael-taam	"hébel, nébel"	faal		alikir	-	
		0	0	0	0	1	2	3	3	4	5		6		
