Number	English	Tw	Nd	Ke	WP	Bl	Ad	Kl	Ki	Ab	Km	Sw	We	pAP
29	river	bo'oi	balu	boi	kapá	mual	mOl	wɛr	mol	lu (foko)	ili ma’tang	ilu	ilú	-
30	lake	bənaaq	traqa	"yir mogo, yir wad"	halia	-	Om	ərɑgɪtɪp	eer bal	wa: takata ‘lake that dries out quickly’	-	iria-kawaali	meria'	-
31	coral (rock)	qoqas	batal	xoqís	katang	mənápa	?o?oi fui	kokah	wor pak	vi: karafi	pusa		wor salár	-
32	(coral) reef	tumu	qaera		lassang	tómu		muru tomu/mur tom	"tul ('karang darat'), agál ('karang laut')"	karafi	pusa	asingku	salár	-
33	canoe	xai	he	ei	hai	je	ei	ɛi	ei	pelang	sipii	kaadaŋ	sipír	-
34	fishing hook	kawil	kawa	kaul	kisi	káwil	ma:ni		yel	haualai	wanee		awíl	
35	fish trap	ker	car		"sar, pilang"	ker			saai	ˈtere	lokei		knopong	-
36	sea/salt water	ta'	ta	tam	tawá	taŋ	taN	tan	tan	tama	tama	tama	tamá'	*tam
37	wave	boof	bova	boob	bo	buat	bobo	bo:b	lamaga	fɔ	-poklaa	galung	ilál	*bob
38	foam	(ta') qaaw	buy	qaaw	aluá	(taŋ) ul	wara-wara	kul	klar	baˈlaking	kuaa		tamá' kula'	-
39	forest	wut	miyama	qaqui eres	wappang	bil pusi	bana	ʔɛh	"kop ('hutan'), awotan ('rimba')"	ating	bong sak	adiisiŋ	dum	-
40	field	hawan bi'in 'flat place'	wuuta gami	"ur wado, ur gom"	bi'ang				lat	rol 	-		oku pedakar	-
41	garden	"ar wan, maxar"	maxara		"bunni, maggar"	bil	"butu 'garden used several times', dil 'garden used only once', ma?ad 'work in garden'"	tɛr	panen	ˈuti  	milaa	para	pur	-
42	"road, path"	yitar	yiiya	jugut	ya	via	se?bur	ɛgɛʔ	lak	safoko / safoka telesing	geei	luraŋ	yele	-
43	machete	peed	peda		pera	peda	sapada	pɛd	peda	kaweni	kine	"piida, saapaada"	pede	
44	axe	bafal	bamma (also old man)	taaxi	baling	taa	"baliNbo?oboi, baliN 'metal shovel'"	bɛi	pongon	faling	paling	poŋala	polong	*balin
45	spear	qab	qaba	xabi	kabbi	ʔaba	boko	kəbɑk	kabak	kafak	kapa	susure	susurai	*qaba(k)
46	burden stick		tiyewang	-	tiawang	-	dopoN 'walking stick'		terewing		-		bong lewared	-
47	bow	wutan	mata	kumat	hummas	umat	pEhE	peh	pes	peti	mo	moosa	mosu	-
48	arrow	qafalat	qaviita	qulubit	kabus / upal / bagur	bulít	"aburig, ata:pa 'fire an arrow'"	"kbor, leh"	nalaga	"pulang ‘small arrow’, kaw ‘large arrow’, kafu ‘large arrow’"	wiling	sike	siki	-
49	knife	si'ar	ciya/siya	"siar, səmering"	sila	tudik	duir (voiceless r)	dʊʊr	dur	lui	sitei	kine	kinai	-
50	rope	tar	korang	siil	korang	sial	hiwaN	hɑlɑr	sel	ˈtila	kape	kape	kpei'	-
51	comb	kir	kiri	kir	waring	kiri	?il 'comb for men (made of bamboo)'	kir	kirmei	ˈketi	dasi	keekuri	kai kuri	
52	mat	bis	bii	bis	bis	bi	bahu	wik	bus	adik	adi	buusi	biti'	*bis
53	needle	betí	batu	baati	suwe	batul	bátuŋ		kiit	ting	dafee		damu'	
54	oven	tutax	tutuwala	tutuk	tuttu	tutu	"hE?Ewui, ?a 'wood'"	adagen	sakan	diking	dekang	iniking	diking	-
55	fire	xar	ar	aad wasing 'firewood'	ra	aad beta	"awai, wai 'to flame'"	ədɑ	ar	ara	ati	ada	adá war	*had(a)
56	smoke	buun	arabun	aad bənaax	bunna	ad benaŋka	awai bano?o	ədɑbon	ar bonok	ara tika	puna	punaka	adá punak	*bunaq
57	ash	di'	damang	bəraam	duli	məró ‘fireplace ash’	ma:lu	adur	ar ui	arui	ati yeng koo		ma abu  (ma 'tanah halus')	-
58	"dust, fine earth"	di' bəraam	malaw	braam	bro	butuŋ boni	malu	ədµr	plak tabon	tabwong	kinii	"butiŋ, abuy"	ma punaka	-
59	mud	bəlaqas	banaqa	ilisaq	para	butumpret	parah	mul	mul	dakung	faa	duukang	brekeng	-
60	clay	moxo' ii'	traqa i'i 	maxam moqi	lambota	mekébutuŋ məké	"fa?ai tEnE 'red clay', fa?ai fiu 'pink clay'"		moi	kung	lamangido		lolo ma    (lolo 'lembut')	
61	gravel	duluwar kriman	"wara knei (lit., stone small)"	dəlour/drour	kera	gənóvar	"fui avai (lit., 'small stones')"		wor kos	vi: bikati	-		wor kas	
62	sand	ees	iyaasi	weis	si'ir	bey	fEcE?	ɑlɑt	alat	malatai	sinai	ɪnɪŋɪ	ini pak	-
63	grass/brush	ti'	to	te	alé	nəvel	bana	kəwɪl	blaka	kupe	sak	ikuyila	serí	-
64	house	yaf	se	ma	bla	haváʔ	baN	əwi	ow	tofa	kadii	araasing	sob	-
65	traditional house		se adat	"ma xabi (lit, 'spear house')"	kabi	-	hada baN		ow yera	kudang/kadang	almang		panggar sob	
66	"barn, storage house"	paxan yaf	kokar	kurung	kebang	pánda	EsElE	iwinok	bena	kudang/kadang	almang	yu	ou	-
67	raised platform	"deek, bala' 'sleeping place'"	ta'aɣecing	deeki	luppu	dey		"liip, trab"	taka	lik	sai	"baasa, line"	kdil	-
68	door	weeg	walagga	tuuni	waiya	tuni	sa?ar	hek	nabat	lung	lubui	daamat	damát	-
69	thatch	"(yaf) waai, (yaf) qul 'ridgepole'"	sewaya	magong	wai	vemvey	"de'e 'roof', u-va 'to roof'"	wei	wai	wai	gabuu mang	"gabaara, li"	sob led	*way
70	roof thatch	man	mang	maan	hasi	meniŋ	"mIn men, uva 'to roof'"	eneːm	amen	file	iwaah	amang	améng	*amen
71	tree	tei	tei	tei	yattu	te	ti	ətəʔ	atei	ˈbata	bong	mu	bong	*tei
72	bark	tei kuwei	tei waqa	tei wasi	yattu maki	te úlit	ti ?ui	ɛtɛkʊi	atei kuil	ˈbata kul	aba	yaka	bong klut	
73	leaf	tei wa'	(tei) wa'a	tei wa	waya	te va	ti bEhE	ɛtɛwɛi	atai det	tala	arita	lakka	bong lak	-
74	branch	tei getingi	gatani	tei getani	koi	te kəráŋa	ataN	"beh, gtan, kdar, tkam"	gatan	ˈbata takawak 	bong gatang	"pakang, kalooka"	bong gabarang	-
75	stick/pole	tukar	do	tukur	soru	awa pula	dopoN	doob	dukur	tukorang	teekang	"diikang, saala"	dekeng	-
76	firewood		ar waci	aad	ra uku	aad dera	a: ta?ata		ar ku	ara	ati		adá wus	
77	rattan	liyag	korang ('rattan ties' also given for 'rope')	leeg	de	"líya ‘long rattan’, nəvár ‘short rattan’"	lE?	uhul	le	furak	tauu	lawaakar	"lotor (sj. bulat lurus), lawaka (sj. belok)"	-
78	digging stick		muru		dalia	norúk			psor tekan	ahating	--		atoku tei	-
79	dibble stick	yax	dada	yag	yaggas	jakat			sulin		--		lala	-
80	root	hroq	alli	aki	har	te brigiŋ	ali?iN	ərɪk	eir	ai	alii	siripiŋ	sriping	-
81	fruit	ge yis	ici	tei isi	hissa	te hi	piri	ɪh	up	iti	"uh, ih"	gisi	bong ikó'	*is(i)
82	seed	ge bag	bagga	guax	uppur	te kulu	awai	mɛm	ku	bika	bilee	inii	ge ikó'	-
83	flower	qaaw	asamma	qaaw	kawang	te búma		bʊʊm	bungan	kiki	kik	kikileawa	kikilau	-
84	husked rice	rax	kara	mar	huttang	mood memaŋ	a:la	ərɑk	arak deter	ajak	aa beita	arakees	arák es	
85	cooked rice	qar	qara	"naqar, naxaro"	huttang dala	naliyaŋ	"a:la meje (lit., 'table rice')"	ərɑkmɑi	arak ma	ajak ma:	aa maa	araka ma	arák mad	*araq
86	rice plant	qar xasga	karra aci ga	mar (uwasiwang)	halla	mood	a:la		arak	ajak 	aa		arák	
87	to plant 1	midan	muddi		midding	mudiŋ	mudiN 'plant smth. like a tree that takes many years to grow 	mdin	atako medi	murow 	mit	mading	mdi	*mudi-n
88	to plant 2	itap	"tappa 'plant, pound rice, stab'"	tap 'to pound'	tappang 'to stab'	tapa 'to pound	ta:pang 'to pound'	tek	tapai 'to stab'	tapei 'to pound'	tafe	taan	ta	*tapai 'pierce'
89	"betel nut, areca"	bui	buya	bui	bu	bu	bu:	bʊiʔɪh	bui	fu	bakaa	pu	pui	*bui
90	betel vine	meet	matta	maat	meta	maat	mece	mɛh	mesín	ˈmeting	maisi	maasi	mas	*mait
91	lime	xor	wa (also 'mother')	awar	hauwe	avar	a:wi	əwɛr	oor	awai	awoi		or	*hawar
92	chew betel	bui si	mata siya	maat si	meta na	maat haa	nahaN	ɪlhɑn	bui sai	fu take  (metathesis)	bakaa aa	pu paati	pui mas tapasi	
93	sweet potato	bətangqar	keingkuka	kukasi	maloko mar	u kasi	falaj	kɛsəl	ai lak	bale	buleel	"yaamu, salu, kuku"	ai lek	-
94	cassava	tei qar	tei xara	bengkuk	wesarani	u belanda	outi	ətɛko	btako	batako	bongko	yaamu salu	bong kau	-
95	taro	nei	itaaba	nei	olu	awgol	ma:lu	lɛɛ	banei	aho 	makai	alaata	pne	-
96	sago				do	-		kɑmroin	kameringan		--		kdesi	-
97	millet	naat		naat	kalake	nuwát	ta:ri		ser manaka	kala	lasu		bulá'	-
98	sugarcane	wux	uufa	uub	habua	wub	so:b	aba	uub	fa	kamaa		upá	*u:b
99	corn/maize	batar	baata	batar	batte	bátar	bati?	bat	batar	fati	patei	patar	petér	*batar
100	cooked corn	batar yib	batupi	batar ipi	baubau	batar pi	bati awai		batar up	fa ma	patei maa		potori	
101	coconut	wat	wata	waat	hatua	vet	fa?	ǝta	bat	ˈwata	wate	wata	watá'	*wat
102	gwang	duwai	angwa'a (wa'a 'leaf')	kunubu	hakke	kədúbuk		tok yar	akal yera		lumel		kuwak	-
103	lontar palm	xaiqual	awa'a (wa'a 'leaf')	"ai qoli, tox 'palm wine'"	tua	koli	"?E?ui, nou 'palm sugar, used for tuak and brooms'"	tok yar	tuuk yera		--		toko bong	-
104	sugar palm				nau	bur			nau yera	tuok	toka			-
105	marungga	quud	salla	matoling/matolung	kuri	təmóluŋ	motoN	kokol	kakol	matoling	koo wutong		kolteng bong	*matoling
106	gum tree/eucalyptus	pal	paala	paal	pu	puu	pu	nih	pokoil	puokdai	"foo, taa"	waa		*pu
107	bamboo	"goxol, ixir, petan, piat, ya'"		petung	mali	"petuŋ ‘large wild bamboo’, mári ‘smooth wild bamboo’, petuŋ vandaŋ ‘domestic bamboo’"	pitung	"dumar, kkak, peet, tuk, ulu, "	pitan	mai	"maai, toon"	"sibeang, sumu, "	(beting)	*mari
108	banana	moxoi	may	mogoi	maggi	mool	mo?oi	mɔgɔl	nawol	mosa	mooi	maˑkɑ	mulúl   (mulula)	*mogol
109	mango	wow	wowa	wow	bes	"biyát ‘wild mango’, mampleʔ ‘domestic mango’"	be	"mogoi, mogoi al"	mampalel	maija	wae	pisi	pis	-
110	papaya	kasi	katela	kasí	kattelu	kási	kahatElE	atemol	matakel	batamia	bongmooi	bile	bilkai	-
111	jackfruit	nak	qaerang	naka	kawerang	naŋka	toN	aton	nangka	song /sõ	ton			*ton
112	breadfruit	kular	kulu	kunur	"kili, tong"	undur	tombai	aton atek	"kulur,  amúr"	song 	kut ton		lapori	-
113	bean	kaas	"nakaahu, traakahu 'peanut'"	taau	lai	"tool (general term), tool butuŋ ‘peanut’, kaa ‘mung bean’"	?utuN	"ut, keh"	utan	"takoi ‘large bean’, luong ‘small bean’, nai ‘ko.bean’"	taaui		kasu	-
114	honey	ta'an yir	to'ong wangi	taaun yir	wani	toon jar	"wain si (lit, bee water)"	wain 'bee'	narowon eer	nawang	laawang ila	iru 'bee'	dring tok	-
115	milk	ham	"aami (cf., gayami 'breast')"	tuu	hang	haam jar	to?	dʊʊt	su	tik	ami iduka	gaami	amira	
116	salt	yisar	yeesi	isar	hissi	siah	taN hiri	əhir	ser	ati	asii	asiir	asír	*asir
117	fat 	tama'	qoata	"qaau, -tema"	kawata	təmá	tamara	təmɑd	tamá	tamada	bulaka	dumu	gesime'	*tama
118	"flesh, meat"	kok	bo'o	umung	"ke'e, dama'a"	dagiŋ hii	hiri	məhɛl	is	mahiting	isei	isi	geis	-
119	bone	kir	kili	kiri/giri	ke'e	ʔe irá	talopo	tərop	taropa	hetaipa	sel	sara	geséri	-
120	rib	ga'an pa'as	siddang	paas	parisi	abál ira	abEti	"dget, pih"	dagatar taropa	kaˈfata  bata	kapaata	baasara	gabáseri	-
121	sweat	hasir	uusi	turugung/trugung	sissi	truuŋ	latutuN	ang	surun	tamuring	susui	punara	punera	-
122	tears	get qar	gatugu	teet low	hanau	"teŋ jar (lit., ‘eye water’), teŋ now"	?ENui		ten na	tieng nau	teng ila		ginira	
123	blood	wei	we	wee	wai	"eve, ve"	fi:	wɛʔ	we	we	wee	wii	wei	*wai
124	tendon	traw	tarro	turui	har	urát			eir	teai	alii		sriping	-
125	heart	uuk	-axoya	-axai	hatuaki	kubaŋ	damulu	ətɑkʊb	ta-bat kublai	tebikamang	bukamang	gikoomaŋ	geukabang	-
126	liver	guuk	gammi-gammi (insides?)	tilil	ume	elila	om	nəbʊr	damor	tomi	--	gidamara	gedamuring	-
127	guts	gruxui kriman	nususu	diyaq	tas ara	avar pula	atohi	gɛh	te is	tatebak	kaapung	gitu	atoko marúng	-
128	excrement	xas			has	aas	haha?	ǝhi	es	asi	asi	ɑtʊ	atú	*has
129	lungs	gaxai	puiy vata		alua	buráŋ	aladiN		ta-kalé	teboboti	fusaa	saalara	gesalar	-
130	stomach	gato'	goto'o	tətoki/tatoki	nas	tətow	atu?u	gəbɛt	ta-beter	-took	-tok	gapaŋ	atoko	*-tok
131	head	go'onqul	gungkotang	toong(kul)	na'ung ki	tooŋ	loN	"kədɛh, nɛttu"	ta-potur	tiakai	-filing	"gatakka, tɑkɑ"	lokomang	-
132	hair	go'on wa'	gungwa'a	toongwa	mayang	toŋ va	hari ?inEmEN	kərɪd	ta-kal	tiakai bata	-ng kula	gatakka lakka	neimbat lak	
133	body hair	mud	muddi	"mudu' 'body hair, fur, feather'"	mayang	pimudi	muj	amudj 	ta-bota	amuri	labuta	madi	(ne)mudi	*mudi
134	eye	tet baag	"gatabaga, natabaga"	"teet gwaq, teet mudu' 'eyelash'"	naiti	teŋkulu	?ENwai	gɛɛn	t-en	tieng bika	-ng	ganiiri	ninirko	-
135	ear	-uwar wa'	gowwa'a	tuwar wa	nauwe	təveli	awEbEhE	gəwɛr	ta-wel	tawei	-wai	wari	neweri lak	*-uar-i
136	nose	gəfimbui	gafini	timim	namma	təmiŋbur	aimbui	gəmoin	te-min	taminfa	-lpang	gamiŋi	nemuing	*-mim
137	mouth	gaa'	gayaqa	tua	nai	taibor	?ata	gɑd	to-wa	tawa	-waa	gayiiri	nebir	-
138	chin	gaaw	gawala	tua somoi	nawar	təvá	arowaha	gad yar	to-wa basin	tawa bak	-waa buk	wakooya	newakat	*-wa
139	lips	ger tuban	gayaq tubung	tua tupa'	nelas	tibál/ tivál	tEm tEporo	gətəbod	ta-rip so	tawa kul	-waa baka	gapiini	nebir klut	-
140	teeth	gusan	gusing	tua sing	nawasing	təvéŋ	na-wEhEN	gəwɛh	ta-wes	taweiti	-weh	gawa	newesi	*-uasi(n)
141	tongue	gelivi	gəlefu	taleeb	nalebu	tejebur	"talEb, nalEb"	gəlɛb	ta-liber	taleifi	-opui	galimpuru	neyebur	*-leb
142	neck	gəməgoqai	gefikiri	tatax	"neba, nai hule"	təméŋʔera	dolo	dohəlɑ	wot plok	terola/rola	-mang	gamaŋ	nemeing	-
143	shoulder	gədiya'	gasial	tabagat	namakar	təbít	?abEli	nɪkɛbɛl	ga-wor	tabal	-wakai	kaalɑ	nebarang	-
144	arm	gətan	gatang	tatang	nattang	tataŋ	nataN	gtan	ta-tan	tatang	-tang	gataŋ	neteng	*-tang
145	finger	gətang qi	gatang uppi	tatang tupa'	nattang si'a	tataŋ tubá	nataN pa?a		(tatan) pak	tatang paka	-tang kilei		(neteng) kilasi	
146	fingernail	gətang quxas	gatang kucing	tatang kusing	nattang kusi	tataŋ krusiŋ	?ataN uhuN	gətɑnkuh	(tatan) kusin	tatang kusing	kuising	gataŋ kurisi	(neteng) kurusi	*kusin
147	breast	gəxam	"gayami (cf., aami 'milk')"	tuu	nai hang	a:m	to? 	dʊʊt	ta-su	taraihiang	ami	gaami	ami	*ham-i
148	navel	gor to'oi	grufi	totay	nito'e	təpuar	?apoy?EN	təpʊhəgɛn	ta-buk	tabik	-bu	gikubiila	kubu	-
149	penis	fi			"ge lupi, ge dukang"	tal		to	ta-pol	pal	-fui	waala	wala	-
150	vagina	taar			ge hissa	ar		aar	ar	oy	-ai	-la	telesiko	*-ar
151	testicles				ge bola	toto kulu		to adang	ta-tako				kalingko	-
152	leg	gəfat	gaya	tabat	nauta	tijá	nE?Ew	gətɑk	ta-tuk	tetuku	-wa	gikuli	newaka	-
153	heel of foot	bai gəfin	gaya begevini	tabat bey gimim	nauta bai gamma	tija omol	?Ewada		tei get	hijak folang	-wa pee galpang		peigemuingkdorang	
154	knee	gəfat kuu	gay uku	tabat uku	ukkang	tijá kuku	"?E pElini, ?ewudu"	gɛiuk	tei luk tuk	taˈbabuk	-subu	gataasuruku	nesesebuk	*uku
155	back	siif	nagua	tewaring	naing wiri	təmota era	?haN mai	gɛhɑk	ta-kabát	teui	imota	"gatiiŋ, gamuwi"	sap kor	-
156	skin	kuwei	ge'ing waka	koi	naing killi	piʔulit	?ui	kʊi	ta-kuil	kul	fasuu	giyaka	klut	-
157	"sore, wound"	jifat	batta	"ibat, bato"	bas	"báta ‘old wound’, íbat ‘new wound’"	bamed	abad	bata	namu	lamu	karupo	leboli	-
158	ringworm	saxai	katu	qaat	"kattur, brai"		ot		lukur	kaˈfising			lilir	-
159	scabies				bai kattur	koot	at	kas	nal	kaˈfising	bila basong			-
160	tinea	gaal	manu	kus bani	ai nassi	mənáw	palaN		yermanema	kafising	bila-bila		pui mnuming	-
161	feverish	qamudi	talaqo	qomodi	dagga	viviriŋ	taso?o	gebir	senam	kamura		-maaku	nailbub	-
162	conjunctivitis				ka'ang	tembrak			ten kei	ˈbeki	kalenta		kibir	-
163	"cold, influenza"	qur kal	(kali) besima	sow	kuka	təmiŋ omi pi	hu:?	kai 'cough'	maneber	pasing			dudung asiding	-
164	person	uyaq	wa'ang	uyaxo'	aname	neenu	na:mi	ɑnɪnok	aninou	"ama, amakang ‘human being’"	alma	"aniŋ, aniŋkaaŋ"	aning	-
165	name	yid	geynu	teeni	ninnu	tene	?aniN	gənɛʔ	t-enei	tane	-nei	gani	adeing (tedeing)	*-ain
166	child	goqai	guaqa	tuaq	wakke	toál	?ei	ʊl	ol	"moku, ne-wi ‘my child’"	dum	gamaddu	ol	"*-uaqal, *ol"
167	man	masar	mawafe'i	masik waal	ammu	meyal	loti	omkənɛ	nen	"nẽ, neng"	lami	"imyaala, imyaalara"	lmi	-
168	woman	eqar	alaqama	umoq waal	eu	jaul	obo?	okənɛ	mei	majuo	male	"yaalara, yaala"	mei	-
169	husband	gəmisi	ganni	gemasik	naimu	teniŋ	noloti	om	anén	heneng	lami	ganaamu	ne lemi	
170	wife	gemaq	gagu	geumuq	"naru, nai manne"	piprá	no?obo?	ɣɣl	améi	hemajuo	male	gayo	ne mei	
171	mother	gaxala'	"hoa (my mother), goa (his/her mother)"	now	niu	nivá	niwi	noi	na-na	"hea ‘his/her mother’, nia ‘my mother’"	-ouko	giya	nea	-
172	father	goma	nabamma	namam	niar	nimaŋ	nimiN	nɪmɑn	na-ma	mama	-paa	gipa	nepa	*-mam
173	older sibling	gəmutu	"nenang, gənang"	nekaw 'same sex sibling'	"nikkar (man's bro), ni'e (women's bro)"	netatá	no?udiN ?obo 'sister'	ʊlom	bakan	nana	idama	naana	nenang (nang 'sulung)	*nan(a)
174	younger sibling	gə'ik	"neywei, nənay"	nedik 'opposite sex sibling'	niaku (same sex)	nekáw	no?udiN loti 'brother'	ʊlɪk	ika	"henaha, nenaha"	idika	kaaku	nekaku (kaku 'bungsu')	*kaku
175	grandmother	gerta'	gətaya	naraat	kuba	nidat	bapa	-doqol	na-ta mei	nekuta	tam	gitaama	netamu mei	-
176	grandfather	gerta' (mesar)	bamala	naraat	wenang	nidat	bapa	-doqom	na-ta	netung	tam		netamu lemi	
177	grandchild	graat qai	gətaya (goaqa)	nagaraat xai	nammis	toal tidat	da?ala	dɑt	na-yol 	ne-rakbeka	dum tam	gataamu	gesir gemai	-
178	bride price	go'oy	ga'a	gay	gu'e	ebəlí	hada	am	tael-taam	"hébel, nébel"	faal		alikir	-
179	slave	uy gusoygusoy waal	wa'an gititi	jonggos	kola	oho gaiŋ		məlɛi	"gur ('laki-laki'), mará ('perempuan')"	maija	maai	gamaddu	melai	-
180	animal				"ba'a 'young animal', lappang 'old animal'"	naʔwal		keek 'male animal'	gor gewel	bilel 'young animal'	isei		pei kutu / bina'at	-
181	dog	yifar	bar	ibar	yabbe	jabar	bEl	kʊr	kur	kai	kui	katu	kutuwal	-
182	pig	bai	bei	bey	bai	be	bi	beeʔ	bei	fe	pee	pi	pei	*bai
183	chicken	saxa	deyan	siaq	suake	haŋi	hiu	hi	sei	ruo	sube	sɛ	sekok	-
184	rat	dur	dur	dur	di	duru	du:l	dʊr	dur	rui	tui	daru	durki	*dur
185	lizard	takok	takaraab	tek	takke	teké	teko		takók	tekok	takkee		peko	
186	civet cat	xraw	"alísi (cf., lísi 'crocodile, monitor lizard')"	orow	lau	ró	"alumanEmE (lit, 'good smelling deer')"	aru'	aruk	ayo	laku	aruwaaka	luku	*haraw
187	deer	ruus	raci	rusi	"lus, waraka"	ruíŋ	a:lu		arus	ajuti	auuh		arus pei	
188	frog	mauqubar		mau xubar	halia maro'o	motó	upapaʔ	eipek	ek tamudak	jakorakora	takabau	werpaak	ol tuktuk (worded 'sj. katak besar)	-
189	bat	mədi	marra	merei	"kalór, madde"	demél		mdel	madél	mare	matei	madi:ku	muduk	*madel
190	tail	goor	gola	gor	geku	orá	olo?	gorəkɛi	gor	haˈwai (also ‘to return something’)	-wui	giwoora	wori	*-or(a)
191	fish	xaf	aafi	ab	hap	aab	a:b	əbi	eb	afu	api	api	api	*hab
192	shark	sifar	sifi	sibar	sibbu	hibír	tabɛi	be’ebi	sobór	kasuwai	anee		molos	-
193	whale	isaperan	sifi		perung	kəláru	"usaha, perunsah"	be’ebi	nyoung	kasuwai	anee		anai	-
194	dolphin	"bai xaf (lit., 'big fish')"	paaru	xalaaru	laurlaga	kuja	"usaha, perunsah"	be’ebi	sisipil	kasuwai	anee		akoling anai	
195	crocodile	baxai	lísi	bagay	bagai	bápa	ba?ai	bəgɑi	buai	fahai	piee	waawa	wawa	*bagai
196	monitor lizard	xaris	lísi	iris	hiddis	ri	?alEhE?	wreh	ros	liti	wulet		roti	*haris
197	starfish		yiva koya tagami	-		-			tan ibra		--		temá laling	-
198	turtle	yer kua	yalaw	yirko	yiakau	jar obó		yeko	dawan	youko	yokee	iruwaaka	urak	-
199	turtle (saltwater)				momang	jar obó			dawan	youko	--		urak	
200	bird	dei	daya	duum	re	wuul	hiu walEwEN	hɪʔɪdom	adol	ruo haling tama	atoi	adala	adol gateng kurusi ('cakar burung')	*(a)dol
201	wing	getar	gata'a	guat	gaddur	abát	awitiN	gɑmbɑl	gabakar	haˈbakai	-pata		bebitir	-
202	feather	mud	muddi (also 'body hair')		kur	wuul mudi	hiu wolo (folo)	wərɛk	adol rok	ruo habakai	labuta	madi	adol mudi	
203	horn	gedexun	gəriang	gumuk	garige	omú	?amu?u	gəmʊk	gamuk	haˈmuk	-muu		gebukur	*-muk
204	snake	daam	daama	damung	duang	dumiŋ	mon	mɔɔn	mon	mon	kume	sipeali	munu	-
